series,start,end,length,score,mean_attr
TS4,9089,9092,3,0.49691872444859775,0.7969187244485978
TS4,19055,19058,3,0.4534192690322819,0.753419269032282
TS4,43871,43874,3,0.44659755609175156,0.7465975560917516
TS4,35,38,3,0.4365343128933451,0.7365343128933451
TS4,59831,59834,3,0.40279560369184264,0.7027956036918427
TS4,59711,59714,3,0.38365835423547545,0.6836583542354755
TS4,43991,43994,3,0.3638507163742303,0.6638507163742303
TS5,22393,22396,3,0.5028063011414436,0.8028063011414437
TS5,14357,14360,3,0.4889822136546613,0.7889822136546614
TS5,12275,12278,3,0.43442319047175115,0.7344231904717512
TS5,52020,52023,3,0.3851534824907449,0.6851534824907449
TS5,44323,44326,3,0.3802752995686166,0.6802752995686167
TS5,46061,46064,3,0.3545241869091782,0.6545241869091782
TS5,35,38,3,0.3290010507263429,0.6290010507263429
TS5,23183,23186,3,0.2959752359573983,0.5959752359573983
TS6,22393,22396,3,0.4572582407197777,0.7572582407197778
TS6,33623,33626,3,0.4029298751845459,0.702929875184546
TS6,21488,21491,3,0.40217607927937726,0.7021760792793773
TS6,43991,43994,3,0.3536308721995812,0.6536308721995813
TS6,7,10,3,0.35058922220930877,0.6505892222093088
TS6,46061,46064,3,0.32940459841525704,0.6294045984152571
TS6,43703,43706,3,0.32541500622408315,0.6254150062240832
TS6,17737,17740,3,0.2864045296976362,0.5864045296976362
TS7,12082,12085,3,0.4229016256460316,0.7229016256460317
TS7,22384,22387,3,0.3226734993085091,0.6226734993085091
TS7,44025,44028,3,0.29378536017896006,0.5937853601789601
TS7,60661,60664,3,0.28668046692280547,0.5866804669228055
TS7,60678,60681,3,0.28410096147850783,0.5841009614785079
TS7,60684,60687,3,0.2745466650230145,0.5745466650230145
TS7,60641,60644,3,0.2707012892101165,0.5707012892101165
TS7,52024,52027,3,0.21898618850751272,0.5189861885075128
TS8,22384,22387,3,0.5623619154558026,0.8623619154558027
TS8,22392,22395,3,0.47190404864591307,0.7719040486459131
TS8,52024,52027,3,0.4056292121497532,0.7056292121497533
TS8,52018,52021,3,0.38112823796056394,0.681128237960564
TS8,24154,24157,3,0.2950765024698889,0.595076502469889
TS8,12091,12094,3,0.2838993592893524,0.5838993592893524
TS8,21488,21491,3,0.26287600670440836,0.5628760067044084
TS8,44232,44235,3,0.23808346345697762,0.5380834634569777
TS9,45754,45757,3,0.48287604017837604,0.7828760401783761
TS9,46063,46066,3,0.46336231513849646,0.7633623151384965
TS9,45778,45781,3,0.4363916775645611,0.7363916775645611
TS9,45401,45404,3,0.4360741025071533,0.7360741025071533
TS9,45758,45761,3,0.42303365235245205,0.7230336523524521
TS9,45497,45500,3,0.4090952836626861,0.7090952836626861
TS9,45797,45800,3,0.39270184964684096,0.692701849646841
TS9,46054,46057,3,0.3807632668994919,0.680763266899492
